🎲 Texas Hold'em Poker Game Log 15 🎲
==================================================

📊 Detailed Game Log:
==================================================

🔄 Round 1
----------------------------------------
Initial State:
👤 Xun             | [♦️ 6] [♣️ 8]        | 💰  1000
👤 PlayerXinZhu    | [♠️ Q] [♠️ 3]        | 💰   995
👤 Elvis           | [♣️ A] [♠️ 4]        | 💰   990
👤 ZheyuX          | [♦️ T] [♥️ Q]        | 💰  1000

🎴 PREFLOP
Board: [  ]
  ZheyuX          | [♦️ T] [♥️ Q] |   31.80% | ✅ call:$10
  Xun             | [♦️ 6] [♣️ 8] |   26.50% | ✅ call:$10
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |   16.40% | ⬆️ raise:$15
  Elvis           | [♣️ A] [♠️ 4] |   28.90% | ⬆️ raise:$20
  ZheyuX          | [♦️ T] [♥️ Q] |   31.80% | ✅ call:$20
  Xun             | [♦️ 6] [♣️ 8] |   26.50% | ✅ call:$20
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |   16.40% | ⬆️ raise:$25
  Elvis           | [♣️ A] [♠️ 4] |   28.90% | ⬆️ raise:$32
  ZheyuX          | [♦️ T] [♥️ Q] |   31.80% | ✅ call:$32
  Xun             | [♦️ 6] [♣️ 8] |   26.50% | ✅ call:$32
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |   16.40% | ⬆️ raise:$39
  Elvis           | [♣️ A] [♠️ 4] |   28.90% | ❌ fold
  ZheyuX          | [♦️ T] [♥️ Q] |   48.00% | ✅ call:$39
  Xun             | [♦️ 6] [♣️ 8] |   33.00% | ✅ call:$39

🎴 FLOP
Board: [ [♠️ 6] [♦️ 4] [♥️ T] ]
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    6.90% | ⬆️ raise:$10
  ZheyuX          | [♦️ T] [♥️ Q] |   70.40% | ⬆️ raise:$20
  Xun             | [♦️ 6] [♣️ 8] |   22.70% | ✅ call:$20
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    6.90% | ⬆️ raise:$30
  ZheyuX          | [♦️ T] [♥️ Q] |   70.40% | ⬆️ raise:$40
  Xun             | [♦️ 6] [♣️ 8] |   22.70% | ❌ fold
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$50
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$60
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$70
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$80
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$90
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$100
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$110
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$120
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$130
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$140
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$150
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$160
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$170
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$180
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$190
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$200
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$210
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$220
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$230
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$240
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$250
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$260
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$270
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$280
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$290
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$300
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$310
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$320
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$330
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$340
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$350
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$360
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$370
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$380
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$390
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$400
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$410
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$420
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$430
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$440
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$450
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$460
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$470
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$480
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$490
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ⬆️ raise:$500
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    8.70% | ⬆️ raise:$510
  ZheyuX          | [♦️ T] [♥️ Q] |   91.30% | ✅ call:$510

🎴 TURN
Board: [ [♠️ 6] [♦️ 4] [♥️ T] [♣️ 3] ]
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$10
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$20
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$30
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$40
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$50
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$60
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$70
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$80
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$90
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$100
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$110
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$120
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$130
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$140
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$150
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$160
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$170
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$180
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$190
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$200
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$210
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$220
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$230
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$240
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$250
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$260
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$270
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$280
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$290
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$300
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$310
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$320
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$330
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$340
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$350
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$360
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$370
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$380
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$390
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$400
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$410
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$420
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$430
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ⬆️ raise:$440
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |    4.00% | ⬆️ raise:$450
  ZheyuX          | [♦️ T] [♥️ Q] |   96.00% | ✅ call:$450

🎴 RIVER
Board: [ [♠️ 6] [♦️ 4] [♥️ T] [♣️ 3] [♦️ 3] ]
  PlayerXinZhu    | [♠️ Q] [♠️ 3] |  100.00% | ✅ call
  ZheyuX          | [♦️ T] [♥️ Q] |    0.00% | ✅ call

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $   941 📉 (-59)
  PlayerXinZhu   : $  2090 📈 (+1095)
  Elvis          : $   968 📉 (-22)
  ZheyuX         : $     1 📉 (-999)
----------------------------------------

🔄 Round 2
----------------------------------------
Initial State:
👤 Xun             | [♥️ 2] [♦️ 2]        | 💰   931
👤 PlayerXinZhu    | [♦️ 7] [♦️ 6]        | 💰  2090
👤 Elvis           | [♥️ K] [♠️ 3]        | 💰   963

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♦️ 7] [♦️ 6] |   43.30% | ❌ fold
  Elvis           | [♥️ K] [♠️ 3] |   44.60% | ⬆️ raise:$67
  Xun             | [♥️ 2] [♦️ 2] |   56.30% | ✅ call:$67

🎴 FLOP
Board: [ [♠️ 5] [♥️ 3] [♠️ K] ]
  Elvis           | [♥️ K] [♠️ 3] |   91.40% | ⬆️ raise:$901
  Xun             | [♥️ 2] [♦️ 2] |    8.60% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $   874 📉 (-57)
  PlayerXinZhu   : $  2090 ➡️ (+0)
  Elvis          : $  1035 📈 (+72)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 3
----------------------------------------
Initial State:
👤 Xun             | [♥️ J] [♥️ A]        | 💰   869
👤 PlayerXinZhu    | [♣️ T] [♦️ 6]        | 💰  2080
👤 Elvis           | [♣️ 2] [♠️ Q]        | 💰  1035

🎴 PREFLOP
Board: [  ]
  Elvis           | [♣️ 2] [♠️ Q] |   26.10% | ⬆️ raise:$15
  Xun             | [♥️ J] [♥️ A] |   49.00% | ✅ call:$15
  PlayerXinZhu    | [♣️ T] [♦️ 6] |   24.90% | ❌ fold

🎴 FLOP
Board: [ [♣️ 7] [♣️ 6] [♦️ A] ]
  Xun             | [♥️ J] [♥️ A] |   93.90% | ✅ call
  Elvis           | [♣️ 2] [♠️ Q] |    6.10% | ⬆️ raise:$10
  Xun             | [♥️ J] [♥️ A] |   93.90% | ✅ call:$10

🎴 TURN
Board: [ [♣️ 7] [♣️ 6] [♦️ A] [♠️ 6] ]
  Xun             | [♥️ J] [♥️ A] |  100.00% | ✅ call
  Elvis           | [♣️ 2] [♠️ Q] |    0.00% | ⬆️ raise:$10
  Xun             | [♥️ J] [♥️ A] |  100.00% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $   849 📉 (-20)
  PlayerXinZhu   : $  2080 ➡️ (+0)
  Elvis          : $  1070 📈 (+35)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 4
----------------------------------------
Initial State:
👤 Xun             | [♠️ K] [♥️ K]        | 💰   849
👤 PlayerXinZhu    | [♥️ 9] [♣️ 6]        | 💰  2075
